TaxonName,Rank
Adlercreutzia,G
Agathobacter,G
Agathobacter rectalis,S
Akkermansia,G
Akkermansia muciniphila,S
Akkermansiaceae,F
Alistipes,G
Alloprevotella,G
Anaerobutyricum,G
Anaerobutyricum hallii,S
Anaerosporobacter,G
Anaerostipes,G
Anaerostipes hadrus,S
Anaerovoracaceae,F
Barnesiella,G
Barnesiella intestinihominis,S
Bifidobacterium dentium,S
Bifidobacterium pseudolongum,S
Butyricicoccus,G
Carnobacterium,G
Carnobacterium maltaromaticum,S
Christensenella,G
Christensenella minuta,S
Christensenellaceae,F
Companilactobacillus,G
Companilactobacillus farciminis,S
Coprobacter,G
Coprococcus,G
Coprococcus catus,S
Coprococcus eutactus,S
Coprococcus comes,S
Dialister,G
Dysosmobacter,G
Dysosmobacter welbionis,S
Ellagibacter,G
Eubacterium hallii,S
Eubacterium rectale,S
Eubacterium coprostanoligenes,S
Faecalibacterium,G
Faecalibacterium prausnitzii,S
Fournierella,G
Fusicatenibacter,G
Gordonibacter,G
Intestinimonas,G
Intestinimonas butyriciproducens,S
Lachnospira,G
Lactobacillus gallinarum,S
Marinifilaceae,F
Odoribacter,G
Oenococcus,G
Oribacterium,G
Oribacterium sinus,S
Oscillibacter,G
Oxalobacter,G
Oxalobacter formigenes,S
Parabacteroides,G
Parabacteroides distasonis,S
Parasutterella,G
Pediococcus,G
Phascolarctobacterium,G
Romboutsia,G
Roseburia,G
Roseburia cecicola,S
Roseburia hominis,S
Roseburia intestinalis,S
Ruminiclostridium,G
Ruminococcus,G
Ruminococcus flavefaciens,S
Ruminococcus gnavus,S
Ruminococcus torques,S
Shuttleworthia,G
Sphingobacteriales,O
Subdoligranulum,G
Turicibacter,G
Tyzzerella,S
