TaxonName,Rank,Bacteria_category,Inflammatory,Oral,Gases
Acidaminococcaceae,F,Условно-нормальный,,,
Acidaminococcales,O,Условно-нормальный,,,
Acinetobacter,G,Условно-нормальный,1,,
Acinetobacter baumannii,S,Условно-нормальный,1,,
Actinobacillus,G,Условно-нормальный,1,1,
Actinomyces,G,Условно-нормальный,,1,
Actinomyces gerencseriae,S,Условно-нормальный,,1,
Actinomyces israelii,S,Условно-нормальный,,1,
Actinomyces naeslundii,S,Условно-нормальный,,1,
Actinomyces viscosus,S,Условно-нормальный,,1,
Aeromonas,G,Патоген,1,,
Aggregatibacter,G,Условно-нормальный,1,1,
Aggregatibacter actinomycetemcomitans,S,Условно-нормальный,1,1,
Alcaligenes,G,Условно-нормальный,1,,
Allobaculum,G,Условно-нормальный,1,,
Allobaculum mucolyticum,S,Условно-нормальный,1,,
Anaerococcus,G,Условно-нормальный,1,,
Anaerococcus lactolyticus,S,Условно-нормальный,1,,
Anaerococcus murdochii,S,Условно-нормальный,1,,
Anaerococcus prevotii,S,Условно-нормальный,1,,
Anaerococcus vaginalis,S,Условно-нормальный,1,,
Arcanobacterium,G,Условно-нормальный,1,1,
Arcanobacterium haemolyticum,S,Условно-нормальный,1,1,
Atopobium,G,Условно-нормальный,1,,1
Atopobium parvulum,S,Условно-нормальный,1,,
Bacillus,G,Условно-нормальный,,1,
Bacillus cereus,S,Патоген,1,,
Bacteroides fragilis,S,Условно-нормальный,1,,
Bacteroides thetaiotaomicron,S,Условно-нормальный,1,,
Bilophila,G,Условно-нормальный,1,,1
Bilophila wadsworthia,S,Условно-нормальный,1,,1
Blautia,G,Условно-нормальный,1,,1
Blautia hydrogenotrophica,S,Условно-нормальный,1,,
Brachyspira,G,Условно-нормальный,1,,
Brachyspira aalborgi,S,Патоген,1,,
Brachyspira pilosicoli,S,Патоген,1,,
Burkholderia,G,Патоген,1,,
Burkholderia pseudomallei,S,Патоген,1,,
Campylobacter,G,Условно-нормальный,1,1,
Campylobacter jejuni,S,Патоген,1,,
Candidatus Soleaferrea,G,Условно-нормальный,1,,
Cardiobacterium,G,Условно-нормальный,1,,
Cardiobacterium hominis,S,Условно-нормальный,1,,
Chryseobacterium,G,Условно-нормальный,1,,
Citrobacter,G,Условно-нормальный,,,
Citrobacter freundii,S,Условно-нормальный,,,
Citrobacter koseri,S,Условно-нормальный,,,
Clostridium,G,Условно-нормальный,,,1
Clostridium clostridioforme,S,Условно-нормальный,,,
Clostridium difficile,S,Условно-нормальный,1,,
Clostridium hathewayi,S,Условно-нормальный,,,
Clostridium perfringens,S,Патоген,1,,
Corynebacterium,G,Условно-нормальный,,1,
Cronobacter,G,Условно-нормальный,1,,
Cutibacterium,G,Условно-нормальный,,,
Cutibacterium acnes,S,Условно-нормальный,,,
Desulfovibrio,G,Условно-нормальный,1,,1
Dorea,G,Условно-нормальный,1,,1
Edwardsiella,G,Патоген,1,,
Eggerthella,G,Условно-нормальный,1,1,
Enterobacter,G,Условно-нормальный,1,,
Enterobacter cloacae,S,Патоген,1,,
Enterobacteriaceae,F,Условно-нормальный,1,,
Enterococcus,G,Условно-нормальный,1,,
Enterococcus durans,S,Патоген,1,,
Enterococcus faecalis,S,Патоген,1,,
Enterococcus faecium,S,Патоген,1,,
Enterococcus hirae,S,Патоген,1,,
Erysipelatoclostridiaceae,F,Условно-нормальный,,,
Erysipelatoclostridium,G,Условно-нормальный,1,,1
Escherichia,G,Условно-нормальный,1,,
Escherichia coli,S,Условно-нормальный,,,
Escherichia-Shigella,G,Патоген,1,,
Eubacterium,G,Условно-нормальный,1,,
Ewingella,G,Патоген,1,,
Fastidiosipila,G,Патоген,1,,
Finegoldia,G,Условно-нормальный,1,,
Finegoldia magna,S,Условно-нормальный,1,,
Fusobacterium,G,Условно-нормальный,1,,
Fusobacterium necrophorum,S,Патоген,1,,
Fusobacterium nucleatum,S,Условно-нормальный,1,1,
Fusobacterium varium,S,Условно-нормальный,1,,
Grimontia,G,Патоген,1,,
Grimontia hollisae,S,Патоген,1,,
Haemophilus,G,Условно-нормальный,1,1,
Haemophilus influenzae,S,Условно-нормальный,1,,
Haemophilus parainfluenzae,S,Условно-нормальный,1,,
Hafnia,G,Патоген,1,,
