TaxonName,Rank
Bacillus subtilis,S
Bifidobacterium,G
Bifidobacterium adolescentis,S
Bifidobacterium animalis subsp. lactis,S
Bifidobacterium bifidum,S
Bifidobacterium breve,S
Bifidobacterium longum,S
Bifidobacterium longum subsp. infantis,S
Lacticaseibacillus (Lactobacillus rhamnosus),G
Lacticaseibacillus rhamnosus,S
Lactobacillus acidophilus,S
Lactobacillus casei,S
Lactobacillus delbrueckii,S
Lactobacillus helveticus,S
Lactobacillus johnsonii,S
Lactobacillus plantarum,S
Lactobacillus reuteri ,S
Lactobacillus,G
Lactococcus lactis,S
Lactococcus,G
Levilactobacillus brevis,S
Levilactobacillus (Lactobacillus brevis),G
Propionibacterium freudenreichii ssp. shermanii,S
Streptococcus thermophilus,S
Propionibacterium,G
Leuconostoc,G
Leuconostoc mesenteroides,S
Lactiplantibacillus,G
Propionibacterium freudenreichii,S
