TaxonName,Destroy,Rank,Neuromediator
Acidaminococcus,,G,Серотонин
Akkermansia,1,G,Серотонин
Alistipes,1,G,Серотонин
Anaerobaculum,,G,Ацетилхолин
Anaerobaculum,,G,Серотонин
Anaerostipes,,G,Серотонин
Anaerotruncus,1,G,Серотонин
Arcobacter,,G,Серотонин
Bdellovibrio,1,G,Серотонин
Bifidobacterium,,G,ГАМК
Bifidobacterium,,G,Серотонин
Brevibacterium,1,G,ГАМК
Bryantella,,G,Серотонин
Butyrivibrio,,G,Серотонин
Coprobacillus,,G,Серотонин
Coprococcus,,G,Серотонин
Dialister,,G,Серотонин
Dysgonomonas,1,G,Серотонин
Edwardsiella,1,G,Серотонин
Erysipelotrichaceae,,F,Серотонин
Eubacterium,,G,Серотонин
Eubacterium,,G,ГАМК
Hafnia,,G,Серотонин
Hafnia,,G,Дофамин
Hymenobacter,1,G,Серотонин
Kocuria,1,G,ГАМК
Lachnospiraceae,1,F,Серотонин
Lactobacillus,,G,ГАМК
Lactobacillus,,G,Серотонин
Lactobacillus,,G,Ацетилхолин
Lactobacillus,,G,Дофамин
Luteibacter,1,G,Серотонин
Megamonas,,G,Серотонин
Methanobrevibacter,,G,Серотонин
Micromonospora,1,G,Серотонин
Mitsuokella,,G,Серотонин
Obesumbacterium,,G,ГАМК
Odoribacter,1,G,Серотонин
Oxalobacter,1,G,Серотонин
Oxalobacter,,G,ГАМК
Paenibacillus,1,G,Дофамин
Paenibacillus,,G,Серотонин
Parabacteroides,,G,ГАМК
Parabacteroides,,G,Серотонин
Paraprevotella,,G,Серотонин
Phascolarctobacterium,,G,Серотонин
Polaribacter,1,G,Серотонин
Propionibacterium,1,G,Дофамин
Propionibacterium,1,G,Серотонин
Rhodanobacter,1,G,Серотонин
Roseburia,,G,Серотонин
Ruminococcus,,G,Серотонин
Ruminococcus,,G,Серотонин
Streptomyces,,G,ГАМК
Succinatimonas,,G,Серотонин
Synergistes,,G,Серотонин
Tannerella,,G,Серотонин
Tenacibaculum,1,G,Серотонин
Thermomonas,1,G,Серотонин
Victivallis,,G,Серотонин
